date,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph)
2009-03-08,36.9,23.0,0.1,29.8,20.9,29.6,274.0,0.03,47.0,26.0,4.0,10.0,29.909,29.626,32.2
2009-03-09,34.1,41.0,9.6,29.7,6.9,11.0,81.0,0.03,44.0,16.0,8.0,21.0,29.844,29.542,24.2
2009-03-10,19.5,51.0,2.0,30.0,12.7,18.5,281.0,0.04,26.0,11.0,8.0,22.0,30.271,29.629,38.0
2009-03-11,29.2,35.0,2.7,30.2,7.6,10.5,35.0,0.04,46.0,11.0,6.0,11.0,30.378,30.069,19.6
2009-03-12,14.7,74.0,7.8,30.2,1.0,2.0,292.0,0.04,42.0,11.0,8.0,19.0,30.347,30.127,5.8
2009-03-16,46.3,22.0,9.5,30.0,12.2,17.0,258.0,0.04,57.0,36.0,2.0,15.0,30.076,29.873,24.2
2009-03-17,48.1,29.0,15.5,30.0,10.0,13.8,260.0,0.04,58.0,36.0,5.0,16.0,30.113,29.874,28.8
2009-03-18,42.3,42.0,19.9,30.1,3.9,5.8,16.0,0.04,53.0,29.0,6.0,20.0,30.261,29.967,18.4
2009-03-19,40.2,50.0,19.7,30.1,3.4,5.1,16.0,0.04,59.0,21.0,8.0,17.0,30.345,29.999,21.9
2009-03-20,41.4,44.0,20.0,30.0,2.7,4.2,329.0,0.04,57.0,27.0,6.0,22.0,30.127,29.944,18.4
2009-03-21,43.3,44.0,17.7,30.0,3.6,5.6,200.0,0.04,63.0,22.0,8.0,12.0,30.165,29.725,23.0
2009-03-22,48.7,29.0,13.4,29.5,8.8,12.7,245.0,0.04,63.0,30.0,6.0,8.0,29.754,29.181,29.9
2009-03-23,35.8,43.0,15.4,29.4,12.0,17.6,276.0,0.04,42.0,25.0,6.0,31.0,29.743,29.127,27.6
2009-03-24,30.7,36.0,6.5,29.9,14.1,20.9,278.0,0.04,39.0,25.0,4.0,27.0,29.995,29.686,29.9
2009-03-25,28.1,47.0,9.8,29.8,6.3,9.4,275.0,0.04,34.0,18.0,7.0,28.0,29.923,29.72,21.9
2009-03-26,16.8,82.0,12.3,30.0,3.0,4.9,71.0,0.04,25.0,9.0,8.0,72.0,30.412,29.687,20.7
2009-03-27,21.1,64.0,9.2,30.2,3.3,5.0,281.0,0.4,36.0,6.0,8.0,23.0,30.433,29.987,17.3
2009-03-28,33.1,37.0,9.3,29.9,11.5,16.7,262.0,0.4,43.0,24.0,4.0,23.0,30.017,29.775,27.6
2009-03-29,40.7,39.0,16.1,29.4,13.4,19.1,265.0,0.4,52.0,30.0,8.0,18.0,29.775,29.131,27.6
2009-03-30,23.3,37.0,0.8,29.7,14.5,20.9,273.0,0.4,30.0,18.0,5.0,27.0,30.029,29.314,28.8
2009-03-31,25.8,40.0,4.5,29.8,16.1,23.2,266.0,0.4,33.0,17.0,6.0,27.0,29.977,29.661,38.0
2009-04-01,24.8,67.0,14.1,29.7,5.9,8.3,263.0,0.0,34.0,10.2,87.0,27.0,30.066,29.51,18.4
2009-04-02,29.1,49.0,11.7,29.9,11.0,15.2,274.0,0.01,43.4,10.9,82.0,32.0,30.049,29.616,27.6
2009-04-03,36.5,60.0,22.8,29.4,6.1,8.2,310.0,0.01,46.1,28.7,93.0,30.0,29.616,29.35,24.2
2009-04-04,25.7,67.0,15.4,29.8,8.5,11.6,10.0,0.24,33.7,18.6,93.0,40.0,30.302,29.377,27.6
2009-04-05,22.0,55.0,7.7,30.5,3.9,5.9,309.0,0.25,33.9,9.5,78.0,29.0,30.651,30.27,17.3
2009-04-06,34.3,30.0,3.8,30.4,6.5,9.8,298.0,0.25,49.4,16.4,52.0,13.0,30.6,30.13,21.9
2009-04-07,45.3,18.0,3.9,30.0,12.5,17.1,250.0,0.25,55.3,36.3,31.0,12.0,30.13,29.893,26.5
2009-04-08,49.6,22.0,11.4,29.5,9.1,13.4,270.0,0.25,60.7,35.9,37.0,11.0,29.925,29.277,26.5
2009-04-09,37.4,47.0,16.3,29.6,10.5,15.0,277.0,0.25,49.5,29.1,91.0,21.0,29.905,29.32,34.5
2009-04-10,35.9,73.0,27.2,30.0,2.0,3.6,66.0,0.3,49.9,26.4,92.0,40.0,30.072,29.851,10.4
2009-04-11,35.0,77.0,28.2,29.8,1.7,2.8,340.0,0.31,49.9,25.6,89.0,46.0,29.982,29.717,8.1
2009-04-12,34.9,82.0,29.7,29.9,3.8,5.5,8.0,0.41,45.2,27.8,92.0,55.0,30.093,29.767,18.4
2009-04-13,42.7,45.0,20.7,29.9,7.1,10.3,267.0,0.41,55.7,26.0,91.0,21.0,30.142,29.783,25.3
2009-04-14,41.9,52.0,24.0,29.8,2.0,3.4,239.0,0.41,55.8,29.1,76.0,25.0,29.893,29.625,20.7
2009-04-15,43.4,54.0,25.3,29.6,2.8,4.5,61.0,0.41,58.6,26.6,85.0,21.0,29.682,29.497,18.4
2009-04-16,32.1,91.0,29.8,29.9,2.3,3.6,59.0,0.48,37.9,26.7,94.0,80.0,30.13,29.564,13.8
2009-04-17,30.8,92.0,28.8,30.1,0.0,0.0,50.0,0.55,32.4,29.4,94.0,90.0,30.195,30.088,0.0
2009-04-18,33.5,87.0,29.9,30.2,1.1,1.7,149.0,1.24,43.8,26.6,93.0,57.0,30.355,30.109,12.7
2009-04-19,37.4,58.0,22.0,30.4,4.5,6.5,263.0,1.3,50.8,18.4,91.0,30.0,30.553,30.143,18.4
2009-04-20,47.3,38.0,22.4,30.1,7.9,11.1,258.0,1.3,57.8,36.5,56.0,25.0,30.196,30.006,21.9
2009-04-21,51.7,35.0,23.2,30.0,6.8,10.0,269.0,1.3,64.2,37.2,68.0,18.0,30.139,29.872,21.9
2009-04-22,47.0,48.0,25.6,29.9,5.5,7.8,256.0,1.3,62.1,30.0,83.0,17.0,29.992,29.759,26.5
2009-04-23,52.1,35.0,21.6,29.7,5.6,8.0,256.0,1.3,67.9,33.1,70.0,12.0,29.856,29.496,31.1
2009-04-24,53.1,38.0,24.8,29.5,11.3,14.7,296.0,1.3,64.7,40.2,76.0,18.0,29.637,29.363,27.6
2009-04-25,34.7,90.0,31.9,29.8,2.2,3.8,69.0,1.42,40.1,32.6,93.0,77.0,29.907,29.628,8.1
2009-04-26,37.1,60.0,23.5,29.8,10.0,14.4,270.0,1.58,44.3,30.3,94.0,35.0,29.923,29.654,26.5
2009-04-27,31.2,80.0,25.1,30.1,4.1,6.4,112.0,1.8,39.8,25.4,92.0,35.0,30.221,29.925,19.6
2009-04-28,43.5,60.0,29.2,29.9,4.0,6.2,52.0,1.8,60.9,26.4,89.0,23.0,30.172,29.733,19.6
2009-04-29,52.7,30.0,19.6,29.7,8.1,11.3,245.0,1.8,65.0,37.6,65.0,9.0,29.885,29.628,24.2
2009-04-30,42.9,63.0,30.7,29.9,3.6,5.7,52.0,1.8,53.1,29.4,79.0,41.0,29.983,29.882,12.7
2009-05-01,37.2,87.0,33.6,30.1,4.0,5.7,50.0,0.07,43.8,33.4,94.0,73.0,30.157,29.95,13.8
2009-05-02,37.7,89.0,34.5,29.9,2.8,4.0,51.0,0.35,48.5,32.9,94.0,66.0,30.114,29.759,12.7
2009-05-03,42.1,69.0,31.1,29.9,5.7,7.9,304.0,0.41,53.4,32.7,94.0,36.0,30.052,29.844,19.6
2009-05-04,46.3,50.0,27.1,29.8,8.5,12.4,263.0,0.41,56.9,36.9,88.0,22.0,29.882,29.753,24.2
2009-05-05,48.9,51.0,31.0,29.7,7.6,11.3,269.0,0.49,58.3,39.8,87.0,31.0,29.835,29.648,29.9
2009-05-06,54.4,37.0,25.3,29.8,8.7,12.7,265.0,0.49,68.9,37.3,85.0,15.0,29.844,29.641,27.6
2009-05-07,57.3,30.0,24.6,29.6,7.1,10.8,273.0,0.49,69.9,44.5,50.0,14.0,29.745,29.549,29.9
2009-05-08,47.1,34.0,18.8,29.8,8.4,13.0,286.0,0.49,55.6,37.5,52.0,15.0,30.154,29.619,26.5
2009-05-09,42.7,54.0,26.4,30.0,3.5,5.7,69.0,0.61,55.1,32.2,90.0,33.0,30.145,29.982,17.3
2009-05-10,38.0,87.0,34.4,30.1,2.6,4.1,68.0,0.8,43.6,32.9,93.0,72.0,30.193,30.045,10.4
2009-05-11,51.1,59.0,33.4,29.9,3.0,5.0,26.0,0.8,70.3,31.9,92.0,13.0,30.145,29.644,15.0
2009-05-12,57.8,38.0,27.5,29.5,10.3,15.0,266.0,0.8,71.6,40.6,79.0,12.0,29.681,29.311,32.2
2009-05-13,51.6,23.0,14.1,29.7,11.2,16.0,265.0,0.8,59.9,41.8,31.0,13.0,30.022,29.346,29.9
2009-05-14,50.8,32.0,19.5,29.8,5.4,8.3,291.0,0.8,67.8,30.4,60.0,16.0,30.023,29.673,26.5
2009-05-15,52.6,40.0,27.1,29.8,10.1,13.3,340.0,0.8,63.4,41.3,62.0,15.0,30.034,29.617,27.6
2009-05-16,47.9,57.0,33.0,30.1,4.4,6.4,65.0,0.8,60.7,36.2,80.0,35.0,30.246,30.022,15.0
2009-05-17,54.2,44.0,28.1,30.1,3.1,27.7,10.0,0.8,71.3,32.5,83.0,16.0,30.281,29.945,11.5
2009-05-18,60.4,35.0,27.3,30.0,2.1,45.2,80.0,0.8,79.0,36.0,74.0,9.0,30.239,29.644,16.1
2009-05-19,61.9,32.0,28.8,29.7,7.7,65.8,304.0,0.8,76.7,46.0,55.0,15.0,29.964,29.471,19.6
2009-05-20,62.5,35.0,33.4,29.7,9.9,61.1,283.0,0.8,69.4,54.4,52.0,24.0,29.763,29.555,27.6
2009-05-21,50.6,72.0,41.5,29.9,3.2,13.8,69.0,0.8,55.7,45.1,93.0,45.0,30.048,29.747,13.8
2009-05-22,53.7,67.0,40.9,29.9,5.0,98.1,20.0,0.86,66.6,37.2,94.0,38.0,30.117,29.711,18.4
2009-05-23,48.9,83.0,43.9,30.0,2.4,3.6,50.0,1.07,53.5,43.3,93.0,69.0,30.052,29.711,8.1
2009-05-24,50.7,80.0,44.6,29.8,1.6,2.8,358.0,1.16,61.0,43.3,93.0,59.0,29.938,29.707,9.2
2009-05-25,50.1,68.0,39.2,29.8,6.8,9.4,300.0,1.53,59.5,43.2,92.0,43.0,29.871,29.675,18.4
2009-05-26,46.5,74.0,38.0,29.9,3.2,4.8,40.0,1.6,55.7,39.2,92.0,44.0,30.007,29.865,16.1
